symbol,date,price
Chinese,Dec 1859,4434.0
Chinese,Dec 1860,6821.0
Chinese,Dec 1861,26949.0
Chinese,Dec 1862,0.0
Chinese,Dec 1863,3845.0
Chinese,Dec 1864,3064.0
Chinese,Dec 1865,14094.0
Chinese,Dec 1866,7588.0
Chinese,Dec 1867,17672.0
Chinese,Dec 1868,7415.0
Chinese,Dec 1869,7494.0
Chinese,Dec 1870,32733.0
Chinese,Dec 1871,20320.0
Chinese,Dec 1872,16307.0
Chinese,Dec 1873,9218.0
Chinese,Dec 1874,34996.0
Chinese,Dec 1875,19811.0
Chinese,Dec 1876,49759.0
Chinese,Dec 1877,31224.0
Chinese,Dec 1878,24911.0
Chinese,Dec 1879,9475.0
Chinese,Dec 1880,7403.0
Chinese,Dec 1881,5539.0
Chinese,Dec 1882,20250.0
Chinese,Dec 1883,29737.0
Chinese,Dec 1884,22905.0
Chinese,Dec 1885,14934.0
Chinese,Dec 1886,25931.0
Chinese,Dec 1887,15879.0
Chinese,Dec 1888,6646.0
Chinese,Dec 1889,47577.0
Chinese,Dec 1890,58536.0
Chinese,Dec 1891,21442.0
Chinese,Dec 1892,40781.0
Chinese,Dec 1893,8517.0
Chinese,Dec 1894,3194.0
Chinese,Dec 1895,17772.0
Chinese,Dec 1896,8363.0
Chinese,Dec 1897,4941.0
Chinese,Dec 1898,24803.0
Chinese,Dec 1899,67254.0
Chinese,Dec 1900,37978.0
Chinese,Dec 1901,7248.0
Chinese,Dec 1902,5396.0
Chinese,Dec 1903,68417.0
Chinese,Dec 1904,35057.0
Chinese,Dec 1905,19287.0
Chinese,Dec 1906,54199.0
Chinese,Dec 1907,40113.0
Chinese,Dec 1908,101500.0
Chinese,Dec 1909,190251.0
Chinese,Dec 1910,1327.0
Chinese,Dec 1911,8063.0
Chinese,Dec 1912,157716.0
Chinese,Dec 1913,23429.0
Chinese,Dec 1914,0.0
Chinese,Dec 1915,41136.0
Chinese,Dec 1916,81995.0
Chinese,Dec 1917,38005.0
Chinese,Dec 1918,0.0
Chinese,Dec 1919,85774.0
Chinese,Dec 1920,8578.0
Chinese,Dec 1921,24848.0
Chinese,Dec 1922,6635.0
Chinese,Dec 1923,88964.0
Chinese,Dec 1924,151778.0
Chinese,Dec 1925,152125.0
Chinese,Dec 1926,130675.0
Chinese,Dec 1927,300038.0
